voter_id,dim1,dim2,dim3,id,jméno,strana
Jaroslav Suchý,-0.3731825843819361,0.0769873868672217,-0.3912940703119892,Jaroslav Suchý,Jaroslav Suchý,KDU-ČSL a STAN
Jakub Hruška,-0.3346337339524755,0.1859327093291497,-0.4611064521481212,Jakub Hruška,Jakub Hruška,KDU-ČSL a STAN
Irena Matonohová,-0.3116785837859134,0.1497593497083053,-0.5069037148944774,Irena Matonohová,Irena Matonohová,KDU-ČSL a STAN
Filip Leder,-0.3327438511695353,0.1669420333326725,-0.473124951649402,Filip Leder,Filip Leder,KDU-ČSL a STAN
Jitka Ivičičová,-0.3375142157905182,0.148037689069914,-0.4406625486508159,Jitka Ivičičová,Jitka Ivičičová,KDU-ČSL a STAN
Martin Maleček,-0.3595184316549069,0.1102601570926739,-0.4056727883516642,Martin Maleček,Martin Maleček,KDU-ČSL a STAN
Pavel Urubek,-0.4312143848581987,-0.0885796899738502,0.0840202085524318,Pavel Urubek,Pavel Urubek,ODS a TOP 09
Petr Kratochvíl,-0.4679772158557739,-0.0436015946249512,0.0601803126233735,Petr Kratochvíl,Petr Kratochvíl,ODS a TOP 09
Martin Příborský,-0.4368607443067039,-0.1137938920965802,0.0959819770489901,Martin Příborský,Martin Příborský,ODS a TOP 09
Robert Kerndl,-0.4800786266093564,-0.0610308506258563,0.0306835045036301,Robert Kerndl,Robert Kerndl,ODS a TOP 09
Tomáš Aberl,-0.4299719248961844,-0.190954882021416,0.1500808854864379,Tomáš Aberl,Tomáš Aberl,ODS a TOP 09
Michal Chládek,-0.4523606038518173,-0.1154431046410623,0.0764172091320564,Michal Chládek,Michal Chládek,ODS a TOP 09
Libor Zábranský,-0.4622632714649168,-0.0984532917626188,-0.0028561935648273,Libor Zábranský,Libor Zábranský,ODS a TOP 09
David Trllo,-0.4744786061674791,-0.093872584497937,0.0707530006189005,David Trllo,David Trllo,ODS a TOP 09
Andrea Pazderová,-0.4166378669940517,-0.1575269361801559,0.0780399007951948,Andrea Pazderová,Andrea Pazderová,ODS a TOP 09
Vladan Krásný,-0.4016163432263093,-0.1536368815792453,0.0625684420315451,Vladan Krásný,Vladan Krásný,ODS a TOP 09
Anna Putnová,-0.4416441228568588,-0.0460098211234148,0.0225503376367211,Anna Putnová,Anna Putnová,ODS a TOP 09
Kristýna Černá,-0.4607578554042431,-0.1006245278128527,0.0566621132466338,Kristýna Černá,Kristýna Černá,ODS a TOP 09
Dagmar Seidlová,-0.4329509323055758,-0.1483811351837083,0.0687560172551149,Dagmar Seidlová,Dagmar Seidlová,ODS a TOP 09
David Grund,-0.4864823759229024,-0.0865915806969921,0.0490702451655443,David Grund,David Grund,ODS a TOP 09
Markéta Vaňková,-0.4566505804522059,-0.0720778748785966,0.0400705478581628,Markéta Vaňková,Markéta Vaňková,ODS a TOP 09
Jiří Herman,-0.4581125639169638,-0.0922725211553979,0.0444513006198277,Jiří Herman,Jiří Herman,ODS a TOP 09
Tomáš Koláčný,0.3282703855645643,0.9265130464283042,0.3101854736112513,Tomáš Koláčný,Tomáš Koláčný,Piráti
Adam Zemek,0.4619216356976597,1.0190394913657166,0.3962205313946381,Adam Zemek,Adam Zemek,Piráti
Monika Lukášová Spilková,0.4696732451142366,1.0307852601895733,0.3357915625318942,Monika Lukášová Spilková,Monika Lukášová Spilková,Piráti
Marek Lahoda,0.4305991168595265,1.0015545206258754,0.3483351575166351,Marek Lahoda,Marek Lahoda,Piráti
Jiří Oliva,-0.4244171987169274,-0.1328090064368717,0.1322396212920845,Jiří Oliva,Jiří Oliva,SOCDEM
Břetislav Štefan,-0.349851193610999,0.0023708138243995,-0.1098508511510204,Břetislav Štefan,Břetislav Štefan,SOCDEM
Marek Viskot,-0.4308794644754183,-0.1515752907547204,0.1247938403445415,Marek Viskot,Marek Viskot,SOCDEM
Jiří Kment,1.987125714733273,-0.4170206611964007,-0.0385511106592437,Jiří Kment,Jiří Kment,SPD+Trikolora
Petr Levíček,1.7460368754122335,-0.6086918098679307,-0.2167494444761769,Petr Levíček,Petr Levíček,SPD+Trikolora
Blanka Borovská,1.9466758269300053,-0.3736611562626946,-0.0069467935831132,Blanka Borovská,Blanka Borovská,SPD+Trikolora
Leoš Prokeš,2.0090198705266977,-0.4552790051721049,-0.0167788861380149,Leoš Prokeš,Leoš Prokeš,SPD+Trikolora
Tomáš Anderle,1.994743544516092,-0.4908997991220282,0.0553908870239897,Tomáš Anderle,Tomáš Anderle,SPD+Trikolora
Tomáš Skřička,1.978893661977783,-0.3996004591725438,0.063052010555927,Tomáš Skřička,Tomáš Skřička,SPD+Trikolora
Jana Drápalová,0.6344886186927486,0.872959302487366,-0.2991926697574043,Jana Drápalová,Jana Drápalová,Zelení a Žít Brno
Matěj Hollan,1.167267888199783,0.5153804721478572,-0.2390783617718642,Matěj Hollan,Matěj Hollan,Zelení a Žít Brno
Jasna Flamiková,0.8195443456242963,0.892229790227876,-0.0035471910523536,Jasna Flamiková,Jasna Flamiková,Zelení a Žít Brno
