voter_id,dim1,dim2,dim3,id,jméno,strana
Jitka Ivičičová,-0.3311350238703995,0.1924782729503839,0.4629272823722943,Jitka Ivičičová,Jitka Ivičičová,KDU-ČSL a STAN
Martin Maleček,-0.3311860566768275,0.1847880103663679,0.4914202783043087,Martin Maleček,Martin Maleček,KDU-ČSL a STAN
Pavel Urubek,-0.4187779489620882,-0.0921308888229114,-0.0783963811230077,Pavel Urubek,Pavel Urubek,ODS a TOP 09
Petr Kratochvíl,-0.4691057049261486,-0.0447731456385827,-0.0568703776401211,Petr Kratochvíl,Petr Kratochvíl,ODS a TOP 09
Martin Příborský,-0.4331056248957865,-0.1224613452642585,-0.0847576119882022,Martin Příborský,Martin Příborský,ODS a TOP 09
Robert Kerndl,-0.4822666888779721,-0.0388253605707833,-0.0102793285790008,Robert Kerndl,Robert Kerndl,ODS a TOP 09
Tomáš Aberl,-0.4221005484895623,-0.2205910112547681,-0.1378658611851672,Tomáš Aberl,Tomáš Aberl,ODS a TOP 09
Michal Chládek,-0.4599345976570775,-0.1301388159730294,-0.0136738211823701,Michal Chládek,Michal Chládek,ODS a TOP 09
Libor Zábranský,-0.474532117532785,-0.074518562660027,0.0416165797523078,Libor Zábranský,Libor Zábranský,ODS a TOP 09
David Trllo,-0.476421569604113,-0.102385296109809,-0.0777049091031994,David Trllo,David Trllo,ODS a TOP 09
Andrea Pazderová,-0.4041320416499189,-0.1945355238147676,-0.1420324082291699,Andrea Pazderová,Andrea Pazderová,ODS a TOP 09
Vladan Krásný,-0.4001679561752184,-0.1832001448836258,-0.1111048407107118,Vladan Krásný,Vladan Krásný,ODS a TOP 09
Anna Putnová,-0.4476295462437032,-0.0452093856189815,0.001411609498575,Anna Putnová,Anna Putnová,ODS a TOP 09
Kristýna Černá,-0.4592589899635493,-0.0842536781051422,-0.0337610190166069,Kristýna Černá,Kristýna Černá,ODS a TOP 09
Dagmar Seidlová,-0.4254040076074873,-0.1592345190684342,-0.0441640643604894,Dagmar Seidlová,Dagmar Seidlová,ODS a TOP 09
David Grund,-0.4912700791902684,-0.093323123565468,-0.0604998678757872,David Grund,David Grund,ODS a TOP 09
Markéta Vaňková,-0.4573265362933835,-0.0598631929241115,-0.0173575566054449,Markéta Vaňková,Markéta Vaňková,ODS a TOP 09
Jiří Herman,-0.4595951517928059,-0.0832588582784642,-0.0177807115601837,Jiří Herman,Jiří Herman,ODS a TOP 09
Tomáš Koláčný,0.2708767502501883,0.8822407468293878,-0.2620595985460321,Tomáš Koláčný,Tomáš Koláčný,Piráti
Adam Zemek,0.435597284567258,0.9891555301520438,-0.3503388395586547,Adam Zemek,Adam Zemek,Piráti
Monika Lukášová Spilková,0.3984271157502479,0.975446708670076,-0.3096290204902313,Monika Lukášová Spilková,Monika Lukášová Spilková,Piráti
Marek Lahoda,0.3938692361521156,0.9655099730188828,-0.2872177502675895,Marek Lahoda,Marek Lahoda,Piráti
Jiří Oliva,-0.4106482168112932,-0.1534632645091128,-0.1638564963905933,Jiří Oliva,Jiří Oliva,SOCDEM
Břetislav Štefan,-0.3196346442380292,0.0154943628705928,0.0723491698940885,Břetislav Štefan,Břetislav Štefan,SOCDEM
Marek Viskot,-0.4381342243490121,-0.1978508506957362,-0.1602132522362424,Marek Viskot,Marek Viskot,SOCDEM
Jiří Kment,1.972987160192256,-0.3867694905190597,0.0848520777279343,Jiří Kment,Jiří Kment,SPD+Trikolora
Petr Levíček,1.683171316678757,-0.6448538220476001,0.2904139930309128,Petr Levíček,Petr Levíček,SPD+Trikolora
Blanka Borovská,1.904689740210776,-0.3460088962818464,0.0624225019273831,Blanka Borovská,Blanka Borovská,SPD+Trikolora
Leoš Prokeš,1.991469861644344,-0.440886966607224,0.061039710051601,Leoš Prokeš,Leoš Prokeš,SPD+Trikolora
Tomáš Anderle,1.9857377518397896,-0.4797998255021944,0.023824494571411,Tomáš Anderle,Tomáš Anderle,SPD+Trikolora
Tomáš Skřička,1.9677571197909076,-0.4023750142575751,0.0057230285171169,Tomáš Skřička,Tomáš Skřička,SPD+Trikolora
Jana Drápalová,0.6606852004530841,0.8962195799153345,0.0218161266893797,Jana Drápalová,Jana Drápalová,Zelení a Žít Brno
Matěj Hollan,1.071816312587988,0.5373189094350637,-0.0916045809934296,Matěj Hollan,Matěj Hollan,Zelení a Žít Brno
Jasna Flamiková,0.8377616532650664,0.8906517273474844,-0.3082670066118152,Jasna Flamiková,Jasna Flamiková,Zelení a Žít Brno
