id,date,motion:title,motion:result,code,number,counts:yes,counts:no,counts:abstain
2023-04-04-068,2023-04-04T12:31:04+00:00,"61. Projekt ""ZŠ Gajdošova 3, druhá etapa""– změna parametrů posouzení projektu",pass,Z9/06,68,50,0,0
2023-04-04-067,2023-04-04T12:30:34+00:00,"60. Projekt ""Řízení ITI BMO 5"" – posouzení projektu",pass,Z9/06,67,49,0,0
2023-04-04-066,2023-04-04T12:30:03+00:00,"59. Projekt ""Modernizace kuchyně a jídelny ZŠ Pastviny"" – posouzení projektu",pass,Z9/06,66,48,0,0
2023-04-04-065,2023-04-04T12:29:33+00:00,"58. Projekt ""Přístavba a modernizace MŠ Michalova"" – posouzení projektu, návrh rozpočtového opatření",pass,Z9/06,65,48,0,0
2023-04-04-064,2023-04-04T12:23:40+00:00,"57. Projekt ""Programové zabydlování domácností v?bytové nouzi metodou Critical Time Intervention a implementace Městské nájemní agentury"" – rozhodnutí o poskytnutí dotace",pass,Z9/06,64,46,0,5
2023-04-04-063,2023-04-04T12:21:12+00:00,"56. Projekt ""MŠ Štouračova – výměna tepelných zdrojů"" – rozhodnutí o poskytnutí dotace",pass,Z9/06,63,50,0,0
2023-04-04-062,2023-04-04T12:20:40+00:00,55. Finanční prostředky Fondu kofinancování projektů – duben 2023 – návrh rozpočtového opatření,pass,Z9/06,62,45,0,5
2023-04-04-061,2023-04-04T12:20:10+00:00,"54. Zpětvzetí žaloby a vzdání se práva na náhradu nákladů řízení ve věci nyní vedené u Městského soudu v Brně pod sp. zn. 49 C 139/2019, o určení neplatnosti odvolání ředitelky Mateřské školy, Brno, nám. Svornosti 8, příspěvkové organizace",pass,Z9/06,61,50,0,0
2023-04-04-060,2023-04-04T12:19:35+00:00,53. Vzdání se práva obce na plnění vyplývající z uplatnění inflační doložky u nájemních smluv v působnosti Odboru sportu MMB,pass,Z9/06,60,51,0,0
2023-04-04-059,2023-04-04T12:19:06+00:00,52. Záměr uzavření dohod o provedení práce s členy ZMB pro hodnocení žádostí o dotace v oblasti kultury,pass,Z9/06,59,47,0,2
2023-04-04-058,2023-04-04T12:18:08+00:00,51. Výuka hry na hudební nástroje na základních školách v sociálně vyloučených lokalitách – návrh na prodloužení termínu vyúčtování,pass,Z9/06,58,43,0,5
2023-04-04-057,2023-04-04T12:17:14+00:00,"50. Návrh Dodatku č. 1 ke Smlouvě o poskytnutí investičního příspěvku ""Bytový komplex Moravanské lány""",pass,Z9/06,57,44,0,5
2023-04-04-056,2023-04-04T12:16:45+00:00,"49. Návrh smlouvy o poskytnutí víceleté individuální dotace z rozpočtu města Brna v oblasti kultury v letech 2023 – 2025 ÚSTAVu K 2001, z. ú. – návrh rozpočtového opatření",pass,Z9/06,56,50,0,0
2023-04-04-055,2023-04-04T12:16:13+00:00,48. „Návrh na poskytnutí individuální investiční dotace z rozpočtu města Brna na realizaci památníku deportovaným občanům z města Brna a okolních obcí v době nacistické okupace na 5. nástupišti hlavního nádraží; návrh rozpočtového opatření“,pass,Z9/06,55,45,0,4
2023-04-04-054,2023-04-04T12:15:36+00:00,47. Návrh na poskytnutí individuální neinvestiční dotace na projekt Provoz botanické zahrady Přírodovědecké fakulty Masarykovy univerzity v roce 2023,pass,Z9/06,54,51,0,0
2023-04-04-053,2023-04-04T12:15:06+00:00,46. Návrh na poskytnutí individuální neinvestiční dotace na projekt Organizace XIX. Brněnské muzejní noci,pass,Z9/06,53,51,0,0
2023-04-04-052,2023-04-04T12:14:36+00:00,45. Návrh na poskytnutí individuální neinvestiční dotace Czechitas z. ú. na projekt „Popularizace digitálních kompetencí a jejich provázání s praxí“ – návrh rozpočtového opatření,pass,Z9/06,52,45,0,5
2023-04-04-051,2023-04-04T12:14:02+00:00,44. Návrh na poskytnutí neinvestičních dotací v rámci dotačního programu pro poskytování dotací v oblasti podpory kreativních odvětví na rok 2023 v 3. etapě – “Pro Kreativní Brno” – návrh rozpočtového opatření,pass,Z9/06,51,45,0,6
2023-04-04-050,2023-04-04T12:12:44+00:00,43. Návrh na poskytnutí neinvestičních dotací na podporu handicapovaných sportovců v roce 2023 – návrh rozpočtového opatření,pass,Z9/06,50,49,0,0
2023-04-04-049,2023-04-04T12:12:16+00:00,42. Návrh na poskytnutí individuální neinvestiční dotace Vysokému učení technickému v Brně na zabezpečení provozu atletického stadionu Pod Palackého vrchem v rámci projektu Centrum brněnské atletiky pro rok 2023 – návrh rozpočtového opatření,pass,Z9/06,49,50,0,0
2023-04-04-048,2023-04-04T12:11:39+00:00,41. Návrh na poskytnutí neinvestičních dotací organizacím národnostních menšin a organizacím působícím v oblasti etnik – návrh rozpočtového opatření,pass,Z9/06,48,42,0,6
2023-04-04-047,2023-04-04T12:10:11+00:00,"40. Návrh na poskytnutí neinvestičních dotací na projekty v programu Dotace na činnosti doplňující zdravotnické služby na území města Brna na rok 2023, návrh rozpočtového opatření",pass,Z9/06,47,49,0,0
2023-04-04-046,2023-04-04T12:09:43+00:00,"39. Návrh na poskytnutí neinvestičních dotací na projekty v programu Dotace na aktivity v oblasti podpory neformálních pečovatelů na rok 2023, návrh rozpočtového opatření",pass,Z9/06,46,44,0,5
2023-04-04-045,2023-04-04T12:09:12+00:00,"38. Návrh na poskytnutí neinvestičních dotací na projekty v programu Dotace na podporu prevence násilí v rodině – problematika domácího násilí na rok 2023, návrh rozpočtového opatření",pass,Z9/06,45,50,0,0
2023-04-04-044,2023-04-04T12:08:42+00:00,"37. Návrh na poskytnutí neinvestičních dotací na projekty v programu „Dotace na projekty v oblasti podpory rodinné politiky“ na rok 2023, návrh rozpočtového opatření",pass,Z9/06,44,46,0,5
2023-04-04-043,2023-04-04T12:08:00+00:00,"36. Návrh na poskytnutí individuální neinvestiční dotace z rozpočtu města Brna na rok 2023 Nadačnímu fondu Proni, návrh na zrušení schválené dotace Diecézní charitě Brno na projekt ""Domácí hospic sv. Lucie"", návrh rozpočtového opatření",pass,Z9/06,43,47,5,0
2023-04-04-042,2023-04-04T12:00:20+00:00,35. Návrh na poskytnutí individuálních neinvestičních dotací pro oblast životního prostředí na rok 2023,pass,Z9/06,42,51,0,0
2023-04-04-041,2023-04-04T11:59:39+00:00,34. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelových investičních a neinvestičních transferů městským částem na projektové dokumentace a realizace ploch zeleně – návrh rozpočtového opatření,pass,Z9/06,41,44,0,6
2023-04-04-040,2023-04-04T11:59:05+00:00,33. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora využití srážkové vody,pass,Z9/06,40,48,0,0
2023-04-04-039,2023-04-04T11:58:38+00:00,32. Návrh na poskytnutí investičních dotací v rámci dotačního programu Podpora vytváření zelených střech,pass,Z9/06,39,46,0,5
2023-04-04-038,2023-04-04T11:58:10+00:00,"31. Návrh na poskytnutí individuální investiční dotace společnosti CD CENTRUM COMS, a. s.– návrh rozpočtového opatření, návrh přípravy pilotního projektu Dostupné družstevní bydlení – stávající domy, Mostecká 16",pass,Z9/06,38,40,0,9
2023-04-04-037,2023-04-04T11:51:14+00:00,30. Návrh na poskytnutí účelových investičních dotací v programu Zkvalitnění zařízení a vybavení pro volný čas v roce 2023 – návrh rozpočtového opatření,pass,Z9/06,37,51,0,0
2023-04-04-036,2023-04-04T11:50:40+00:00,29. Návrh na poskytnutí neinvestičních příspěvků základním školám na zajištění základní plavecké výuky žáků základních škol – návrh rozpočtového opatření,pass,Z9/06,36,49,0,0
2023-04-04-035,2023-04-04T11:50:13+00:00,28. Návrh na poskytnutí neinvestičních příspěvků školám a školským zařízením na podporu dietního stravování ve městě Brně na rok 2023 – návrh rozpočtového opatření,pass,Z9/06,35,49,0,0
2023-04-04-034,2023-04-04T11:49:43+00:00,"27. Návrh na poskytnutí účelového neinvestičního příspěvku Základní škole a Mateřské škole Brno, Merhautova 37, příspěvkové organizaci a zajištění finančních prostředků pro koordinátory na projekt OnStage Brno – návrh rozpočtového opatření",pass,Z9/06,34,43,0,6
2023-04-04-033,2023-04-04T11:38:31+00:00,"26. Kancelář architekta města Brna, příspěvková organizace – návrh na změnu účelu využití části účelového investičního transferu, návrh rozpočtového opatření",pass,Z9/06,33,42,0,6
2023-04-04-032,2023-04-04T11:38:00+00:00,25. Návrh na změnu účelu použití investičního transferu městské části Brno-Vinohrady – návrh rozpočtového opatření,pass,Z9/06,32,49,0,0
2023-04-04-031,2023-04-04T11:37:29+00:00,24. Návrh rozpočtového opatření v souvislosti s realizací pamětní desky Tomáše Šilingera,pass,Z9/06,31,48,0,0
2023-04-04-030,2023-04-04T11:37:00+00:00,23. Návrh rozpočtového opatření – aktualizace rozpočtu Odboru participace MMB,pass,Z9/06,30,47,0,4
2023-04-04-029,2023-04-04T11:36:30+00:00,22. Návrh na použití zdrojů Fondu mobility – návrh rozpočtového opatření - 2. odr.,pass,Z9/06,29,51,0,0
2023-04-04-028,2023-04-04T11:36:08+00:00,22. Návrh na použití zdrojů Fondu mobility – návrh rozpočtového opatření,pass,Z9/06,28,49,0,0
2023-04-04-027,2023-04-04T11:35:39+00:00,22. Návrh na použití zdrojů Fondu mobility – návrh rozpočtového opatření - Cyklocargo překladiště,pass,Z9/06,27,44,5,2
2023-04-04-026,2023-04-04T11:22:28+00:00,"21. Zapojení Veřejné sbírky na činnost Útulku pro opuštěná zvířata a odchytové a asanační služby Městské policie Brno, návrh rozpočtového opatření",pass,Z9/06,26,52,0,0
2023-04-04-025,2023-04-04T11:21:58+00:00,20. Zapojení vyšších příjmů Odboru strategického rozvoje a spolupráce MMB na úhradu faktur za energie a služby Vysokému učení technickému v Brně – návrh rozpočtového opatření,pass,Z9/06,25,53,0,0
2023-04-04-024,2023-04-04T11:21:29+00:00,"19. Zapojení Fondu rezerv a rozvoje, poskytnutí účelového neinvestičního transferu městské části Brno-Medlánky na památkovou obnovu zvonice Kytnerova – návrh rozpočtového opatření",pass,Z9/06,24,50,0,0
2023-04-04-023,2023-04-04T11:20:55+00:00,"18. Zapojení Fondu rezerv a rozvoje v souvislosti s předfinancováním doplatku grantu v souladu s Grantovou dohodou pro projekt s více příjemci v rámci programu ERASMUS+, – návrh rozpočtového opatření",pass,Z9/06,23,51,0,0
2023-04-04-022,2023-04-04T11:20:21+00:00,"17. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelového neinvestičního příspěvku Muzeu města Brna, příspěvkové organizaci, na zajištění projektu ""Výstava Eliška Rejčka – 700 let"" v roce 2023, návrh rozpočtového opatření",pass,Z9/06,22,53,0,0
2023-04-04-021,2023-04-04T11:19:48+00:00,16. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím účelových neinvestičních transferů městským částem na nárůst cen energií škol a školských zařízení zřizovaných statutárním městem Brnem-městskými částmi-návrh rozpočtového opatření,pass,Z9/06,21,53,0,0
2023-04-04-020,2023-04-04T11:19:15+00:00,15. Zapojení Fondu rezerv a rozvoje v souvislosti s poskytnutím individuální účelové neinvestiční dotace Diecézní charitě Brno – návrh rozpočtového opatření,pass,Z9/06,20,48,0,5
2023-04-04-019,2023-04-04T11:12:25+00:00,"14. Realizace participativního rozpočtu města Brna na nemovitých věcech ve vlastnictví řízených osob – návrh předchozího souhlasu s udělením koncernového pokynu, návrh Zásad a Metodiky participativního rozpočtu statutárního města Brna",pass,Z9/06,19,42,0,6
2023-04-04-018,2023-04-04T11:11:51+00:00,13. Schválené rozpočty na rok 2023 příspěvkových organizací zřízených městem Brnem,pass,Z9/06,18,38,0,6
2023-04-04-017,2023-04-04T11:11:18+00:00,12. Souhrnný rozpočet statutárního města Brna na rok 2023,pass,Z9/06,17,38,0,6
2023-04-04-016,2023-04-04T11:10:48+00:00,11. Návrh na zapojení statutárního města Brna do mezinárodní sítě Culture Next Cities Network,pass,Z9/06,16,37,0,6
2023-04-04-015,2023-04-04T10:31:47+00:00,10. Návrh změny statutu Fondu mobility,pass,Z9/06,15,47,2,2
2023-04-04-014,2023-04-04T10:31:25+00:00,10. Návrh změny statutu Fondu mobility - hlasování o návrhu pí Flamikové,fail,Z9/06,14,3,1,37
2023-04-04-013,2023-04-04T10:30:58+00:00,10. Návrh změny statutu Fondu mobility - hlasování o návrhu pí Flamikové,fail,Z9/06,13,7,1,34
2023-04-04-012,2023-04-04T10:18:30+00:00,"9. Návrh změny stanov obchodní společnosti CD CENTRUM COMS, a. s.",pass,Z9/06,12,52,0,0
2023-04-04-011,2023-04-04T10:18:02+00:00,8. Dodatky ke zřizovacím listinám příspěvkových organizací zřízených městem v působnosti Odboru zdraví Magistrátu města Brna,pass,Z9/06,11,53,0,0
2023-04-04-010,2023-04-04T10:17:32+00:00,"7. Návrh obecně závazné vyhlášky statutárního města Brna, kterou se mění a doplňuje obecně závazná vyhláška statutárního města Brna č. 11/2017, o nočním klidu, ve znění pozdějších vyhlášek",pass,Z9/06,10,49,0,2
2023-04-04-009,2023-04-04T10:16:57+00:00,"6. Návrh obecně závazné vyhlášky statutárního města Brna, kterou se mění a doplňuje obecně závazná vyhláška statutárního města Brna č. 20/2001, kterou se vydává Statut města Brna, ve znění pozdějších vyhlášek",pass,Z9/06,9,50,0,0
2023-04-04-008,2023-04-04T10:13:50+00:00,113. Zpráva o realokaci Divadla Bolka Polívky,pass,Z9/06,8,46,1,5
2023-04-04-007,2023-04-04T10:13:18+00:00,113. Zpráva o realokaci Divadla Bolka Polívky - hlasování o návrhu p. Hollana,fail,Z9/06,7,6,7,23
2023-04-04-006,2023-04-04T08:30:46+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program",pass,Z9/06,6,51,1,0
2023-04-04-005,2023-04-04T08:30:17+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program- hlasování o návrhu p. Hollana na zařazení bodu",fail,Z9/06,5,10,2,30
2023-04-04-004,2023-04-04T08:29:40+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o návrhu pí Drápalové na zařazení bodu č. 114",fail,Z9/06,4,17,1,28
2023-04-04-003,2023-04-04T08:28:58+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o zařazení bodu č. 110, 112, 113",pass,Z9/06,3,52,0,0
2023-04-04-002,2023-04-04T08:28:32+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - program - hlasování o stažení bodu č. 76 a 77",pass,Z9/06,2,50,0,0
2023-04-04-001,2023-04-04T08:12:05+00:00,"1. Technický bod (zapisovatelé, právní asistence, ověřovatelé zápisu, schválení programu zasedání ZMB) - ověřovatelé zápisu",pass,Z9/06,1,48,0,0
2023-02-28-106,2023-02-28T11:18:33+00:00,131. Oznámení o vzdání se funkce přísedící Městského soudu v Brně,pass,Z9/05,106,50,0,0
2023-02-28-105,2023-02-28T11:18:02+00:00,"130. Návrh na poskytnutí bezúročné zápůjčky z rozpočtu města Brna městské části Brno-Komín za účelem nabytí pozemků p. č. 131/1, 131/2, 131/3 a 132, k. ú. Komín, obec Brno, návrh rozpočtového opatření",pass,Z9/05,105,42,0,5
2023-02-28-104,2023-02-28T11:13:10+00:00,"127. Návrh na změnu části usnesení Z8/39. zasedání ZMB konaného dne 21. 6. 2022, bod 208 Nabídka na využití předkupního práva dle § 101 stavebního zákona k pozemkům v k. ú. Brněnské Ivanovice, Návrh Smlouvy o spolupráci „Nová Kaštanová“",pass,Z9/05,104,42,0,5
2023-02-28-103,2023-02-28T11:12:26+00:00,124. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „KOMPLEX PONAVA“,pass,Z9/05,103,44,0,2
2023-02-28-102,2023-02-28T11:11:43+00:00,123. Návrh Smlouvy o spolupráci při výstavbě veřejné infrastruktury „Protipovodňová opatření lokality Leskava – levý i pravý břeh nad mostem Havránkova“,pass,Z9/05,102,39,0,5
2023-02-28-101,2023-02-28T10:30:03+00:00,122. Návrh smlouvy o spolupráci při realizaci stavebních záměrů v lokalitě Tuřany – Holásky,pass,Z9/05,101,44,0,6
2023-02-28-100,2023-02-28T10:29:35+00:00,"121. Záměr dispozice s pozemky p. č. 3754/12, 3754/22, 3754/24, 3756, vše v k. ú. Královo Pole z vlastnictví České republiky – Ministerstva obrany do vlastnictví statutárního města Brna",pass,Z9/05,100,46,0,6
2023-02-28-099,2023-02-28T10:26:18+00:00,"120. Návrh na zrušení usnesení zasedání ZMB č. Z9/03, konaného dne 13. 12. 2022, bod č. 83 a návrh směny pozemků v k. ú. Komárov pro stavbu „Tramvaj Plotní – soubor staveb – etapa 2-4“ - 2. schvaluje",pass,Z9/05,99,44,0,5
2023-02-28-098,2023-02-28T10:25:54+00:00,"120. Návrh na zrušení usnesení zasedání ZMB č. Z9/03, konaného dne 13. 12. 2022, bod č. 83 a návrh směny pozemků v k. ú. Komárov pro stavbu „Tramvaj Plotní – soubor staveb – etapa 2-4“ -1. ruší",pass,Z9/05,98,52,0,0
2023-02-28-097,2023-02-28T10:24:53+00:00,"119. Návrh směny části a celých pozemků v k. ú. Nový Lískovec, návrh nabytí spoluvlastnického podílu na pozemcích v k. ú. Nový Lískovec, pro strategický projekt „Bytová výstavba v lokalitě Kamenný vrch II“, návrh rozpočtového opatření",pass,Z9/05,97,52,0,0
2023-02-28-096,2023-02-28T10:24:05+00:00,"119. Návrh směny části a celých pozemků v k. ú. Nový Lískovec, návrh nabytí spoluvlastnického podílu na pozemcích v k. ú. Nový Lískovec, pro strategický projekt „Bytová výstavba v lokalitě Kamenný vrch II“, návrh rozpočtového opatření",pass,Z9/05,96,49,1,0
2023-02-28-095,2023-02-28T10:23:24+00:00,"118. Návrh směny pozemků p. č. 4445/12, 4420/2, částí pozemků p. č. 4445/16, 4444, 4420/1, 4421/2, 4422/114 v k. ú. Líšeň",pass,Z9/05,95,50,0,0
2023-02-28-094,2023-02-28T10:22:54+00:00,"117. Nabídka předkupního práva ke spoluvlastnickému podílu o velikosti id. 1/2 na stavbě bez č. p./č. e., způsob využití garáž, postavené na pozemku p. č. 4730 v k. ú. Komín",pass,Z9/05,94,52,0,0
2023-02-28-093,2023-02-28T10:22:24+00:00,"116. Nabídka předkupního práva ke stavbám bez č. p./č. e., způsob využití garáže, postaveným na pozemcích p. č. 285/45, 211/28, 212 až 241, 243 až 247, 257 až 284, 285/11, 285/14 až 285/50, 285/52 až 285/81 a 285/124, vše v k. ú. Žabovřesky - var. A",pass,Z9/05,93,43,1,8
2023-02-28-092,2023-02-28T10:21:34+00:00,Body č. 114 a 115,pass,Z9/05,92,52,0,0
2023-02-28-091,2023-02-28T10:21:01+00:00,"113. Nabídka předkupního práva ke stavbě bez č. p./č. e., způsob využití garáž, postavené na pozemku p. č. 5484 v k. ú. Královo Pole",pass,Z9/05,91,44,0,5
2023-02-28-090,2023-02-28T10:20:29+00:00,"112. Nabídka předkupního práva ke stavbě bez č. p./č. e., způsob využití garáž, postavené na pozemku p. č. 1791 v k. ú. Černovice",pass,Z9/05,90,47,0,5
2023-02-28-089,2023-02-28T10:19:32+00:00,Body č. 108-111,pass,Z9/05,89,49,0,1
2023-02-28-088,2023-02-28T10:18:50+00:00,"107. Návrh darování pozemků p. č. 273/2, 273/3, oba v k. ú. Čížky, p. č. 236/5, 236/6, oba v k. ú. Kuřimské Jestřabí, p. č. 326/15, 326/20, 326/21, vše v k. ú. Vohančice Jihomoravskému kraji",pass,Z9/05,88,52,0,0
2023-02-28-087,2023-02-28T10:18:18+00:00,"106. Návrh kupní ceny za nabytí pozemku p. č. 189 v k. ú. Horní Heršpice z vlastnictví České republiky-Správy železnic, státní organizace do vlastnictví statutárního města Brna",pass,Z9/05,87,46,0,0
2023-02-28-086,2023-02-28T10:17:43+00:00,Body č. 101-104,pass,Z9/05,86,51,0,0
2023-02-28-085,2023-02-28T10:17:03+00:00,100. Návrh Dodatku č. 1 ke Smlouvě o bezúplatném převodu vlastnictví č. 1877364911 ze dne 17. 9. 2019 – Sportovně rekreační oblast Pisárky – lokalita za Anthroposem,pass,Z9/05,85,48,0,2
2023-02-28-084,2023-02-28T10:16:27+00:00,Body č. 86-99,pass,Z9/05,84,51,0,0
2023-02-28-083,2023-02-28T10:15:37+00:00,"85. Žádost o bezúplatný převod hrobového zařízení, návrh darovací smlouvy",pass,Z9/05,83,50,0,0
2023-02-28-082,2023-02-28T10:15:02+00:00,Body č. 81-84,pass,Z9/05,82,52,0,0
2023-02-28-081,2023-02-28T10:14:30+00:00,80. Návrh prodeje pozemku p. č. 2650/1 k. ú. Řečkovice,pass,Z9/05,81,46,0,6
2023-02-28-080,2023-02-28T10:13:57+00:00,79. Návrh prodeje pozemku p. č. 226/1 k. ú. Maloměřice,pass,Z9/05,80,47,0,5
2023-02-28-079,2023-02-28T10:13:00+00:00,"78. Prodej podílu statutárního města Brna na pozemcích p. č. 7190/158, p. č. 7190/159, p. č. 7190/165, k. ú. Bystrc, zřízení služebnosti – návrh na změnu přílohy č. 106b zápisu Z8/40. zasedání Zastupitelstva města Brna, konaného dne 6. 9. 2022, bod č. 140",pass,Z9/05,79,50,0,0
