vote_event_id;date;sitting_number;topic;topic_description;member;vote;vote_source;yes_count;no_count;abstain_count;present_count;source_url
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Škop Michal;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Tyrpeklová Zdenka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-002;2022-10-12;1;Schválení programu jednání Ustavujícího zasedání ZNI Plasy;ZM schvaluje předložený návrh programu jednání;Urbanová Veronika;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Škop Michal;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Tyrpeklová Zdenka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-003;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení počtu místostarostů;ZM schvaluje pro volební období 2022-2026 zvolení dvou místostarostů;Urbanová Veronika;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Škop Michal;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Tyrpeklová Zdenka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-004;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení funkcí, pro které budou členové ZNI uvolněni;ZM určuje fůnkci starosty města, pro kterou bude člen ZM uvolněn;Urbanová Veronika;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Škop Michal;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Tyrpeklová Zdenka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-005;2022-10-12;1;Volba starosty a místostarosty/ů/ - určení způsobu volby starosty a místostarosty/ů/;ZM stanoví volbu starosty a místostarostů veřejným;Urbanová Veronika;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Belbl Emanuel;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Gross Václav;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Hanzlíček Zdeněk;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Ježková Martina;absent;attendance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Kantor Pořádková Eva;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Bezdíčková Jitka;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Kouba Tomáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Kovářík Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Neuman Petr;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Novotný Jiří;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Palmová Eliška;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
2022-10-12-006;2022-10-12;1;Volba starosty města;ZM města Plasy volí starostkou města Plasy Mgr. Evu Kantor Pořádkovou;Pfeifer Lukáš;yes;inferred by count balance;14;0;0;14;https://www.plasy.cz/modules/file_storage/download.php?file=fd132e0c%7C368&inline=1
